gene_index	gene_name
4653	Clec14a
4656	Clec1a
4657	Clec1b
4658	Clec2d
4665	Clec3b
4666	Clec4a1
4668	Clec4a3
4672	Clec4d
4673	Clec4e
4676	Clec4n
4678	Clec7a
4682	Clic3
4684	Clic5
4685	Clic6
4706	Clps
4714	Clstn2
4719	Clu
4724	Cma1
4730	Cmklr1
4736	Cmpk2
4742	Cmtm5
4745	Cmtm8
4764	Cnn1
4766	Cnn3
4781	Cnp
4791	Cntfr
4810	Coch
4824	Col13a1
4825	Col14a1
4826	Col15a1
4831	Col1a1
4832	Col1a2
4841	Col3a1
4842	Col4a1
4843	Col4a2
4846	Col4a4
4850	Col5a2
4852	Col6a1
4853	Col6a2
4854	Col6a3
4858	Col7a1
4859	Col8a1
4866	Colec12
4867	Colq
4878	Comp
4906	Corin
4907	Coro1a
4915	Cotl1
4924	Cox4i2
4929	Cox6a2
4931	Cox6b2
4940	Cox8b
4942	Cp
4943	Cpa1
4944	Cpa2
4945	Cpa3
4949	Cpb1
4952	Cpe
4959	Cplx2
4961	Cpm
4989	Cpxm1
4990	Cpxm2
4991	Cpz
4993	Cr2
5010	Creb5
5022	Crim1
5023	Crip1
5024	Crip2
5031	Crispld2
5045	Crtam
5055	Cryab
5067	Crygn
5079	Csf1
5080	Csf1r
5083	Csf2rb
5086	Csf3r
5091	Csmd1
5107	Cspg4
5114	Csrp1
5115	Csrp2
5117	Csrp3
5121	Cst3
5123	Cst7
5125	Cst9
5127	Cstad
5148	Ctgf
5150	Cthrc1
5152	Ctla2a
5153	Ctla2b
5154	Ctla4
5168	Ctrb1
5173	Ctsc
5174	Ctsd
5178	Ctsh
5179	Ctsk
5180	Ctsl
5184	Ctss
5185	Ctsw
5192	Ctxn1
5195	Cubn
5219	Cx3cr1
5220	Cxadr
5221	Cxcl1
5222	Cxcl10
5224	Cxcl12
5225	Cxcl13
5226	Cxcl14
5227	Cxcl15
5228	Cxcl16
5229	Cxcl17
5230	Cxcl2
5231	Cxcl3
5235	Cxcr2
5236	Cxcr3
5237	Cxcr4
5238	Cxcr5
5239	Cxcr6
5240	Cxcr7
5241	Cxx1a
5242	Cxx1b
5248	Cyb561
5256	Cyb5r3
5259	Cyba
5261	Cybb
5262	Cybrd1
5268	Cygb
5271	Cym
5272	Cyp11a1
5275	Cyp1a1
5277	Cyp1b1
5282	Cyp26b1
5289	Cyp2a5
5291	Cyp2b10
5301	Cyp2c44
5321	Cyp2e1
5322	Cyp2f2
5330	Cyp2j9
5332	Cyp2s1
5352	Cyp4b1
5358	Cyp4f18
5369	Cyr61
5371	Cysltr1
5375	Cyth3
5377	Cytip
5378	Cytl1
5383	D030025P21Rik
5432	D330050I16Rik
5438	D430036J16Rik
5441	D4Bwg0951e
5490	D930028M14Rik
5495	Daam2
5501	Dact1
5518	Dapl1
5530	Dbi
5536	Dbp
5563	Dck
5570	Dcn
5595	Dcxr
5597	Ddah1
5598	Ddah2
5601	Ddc
5607	Ddit4
5674	Defb25
5683	Defb40
5720	Des
5762	Dhrs9
5790	Dio2
5797	Diras2
5808	Dkk2
5809	Dkk3
5823	Dlgap1
5830	Dll1
5832	Dll4
5849	Dmkn
5858	Dmrtc1a
5869	Dnahc5
5870	Dnahc6
5873	Dnahc8
5874	Dnahc9
5881	Dnajb1
5888	Dnajb4
5918	Dnajc6
5924	Dnali1
5931	Dnd1
5932	Dner
5964	Dok2
5981	Dpep1
5982	Dpep2
6006	Dpt
6013	Dpysl2
6019	Dram1
6051	Dtna
6071	Dusp1
6081	Dusp2
6084	Dusp26
6087	Dusp3
6090	Dusp6
6103	Dync1i1
6112	Dynlrb2
6129	E030010A14Rik
6134	E030019B13Rik
6142	E130012A19Rik
6148	E130203B14Rik
6181	E330013P06
6185	E330020D12Rik
6188	E330033B04Rik
6199	Ear1
6202	Ear2
6207	Ebf1
6216	Ece1
6227	Ecm1
6228	Ecm2
6229	Ecscr
6231	Ect2
6245	Edn1
6247	Edn3
6248	Ednra
6249	Ednrb
6263	Efcab10
6266	Efcab4a
6273	Efemp1
6280	Efhd1
6281	Efhd2
6282	Efna1
6287	Efnb1
6288	Efnb2
6296	Egfem1
6297	Egfl6
6298	Egfl7
6299	Egfl8
6305	Egr1
6311	Ehd1
6314	Ehd4
6407	Eln
6408	Elof1
6409	Elovl1
6415	Elovl7
6419	Eltd1
6420	Emb
6421	Emcn
6426	Emid1
6429	Emilin2
6437	Emp1
6438	Emp2
6441	Emr4
6453	Eng
6455	Enho
6459	Eno3
6467	Enpp2
6468	Enpp3
6475	Entpd2
6483	Eomes
6486	Epas1
6498	Epcam
6501	Epha1
6505	Epha4
6508	Epha7
6513	Ephb4
6517	Ephx3
6524	Epor
6533	Epsti1
6578	Errfi1
6580	Esam
6585	Esm1
6589	Esr1
6611	Ets1
6617	Etv5
6666	Ezr
6669	F11r
6671	F13a1
6674	F2r
6678	F3
6681	F630028O10Rik
6685	F7
6690	F830016B08Rik
6696	Fabp1
6699	Fabp3
6700	Fabp4
6701	Fabp5
6703	Fabp7
6716	Faim2
6717	Faim3
6720	Fam101a
6721	Fam101b
6727	Fam107a
6755	Fam123a
6773	Fam134b
6800	Fam162b
6828	Fam176b
6830	Fam178b
6833	Fam180a
6835	Fam181b
6836	Fam183b
6845	Fam189a1
6862	Fam19a1
6884	Fam3c
6887	Fam43a
6890	Fam46a
6894	Fam47e
6918	Fam64a
6920	Fam65b
6926	Fam70b
6935	Fam73a
6941	Fam78b
6960	Fam92b
6987	Fasl
6988	Fasn
7004	Fbln1
7005	Fbln2
7006	Fbln5
7008	Fbn1
7038	Fbxo2
7084	Fcer1a
7085	Fcer1g
7086	Fcer2a
7089	Fcgr1
7091	Fcgr3
7092	Fcgr4
7100	Fcrl1
7102	Fcrl6
7103	Fcrla
7105	Fcrls
7120	Fermt2
7150	Fgf18
7161	Fgf9
7164	Fgfr1
7169	Fgfr4
7174	Fgl2
7175	Fgr
7180	Fhl1
7185	Fhod1
7186	Fhod3
7188	Fibin
7192	Figf
7197	Filip1
7198	Filip1l
7204	Fjx1
7209	Fkbp1a
7229	Flnc
7233	Flrt2
7234	Flrt3
7235	Flt1
7238	Flt4
7246	Fmo1
7247	Fmo2
7253	Fmod
7256	Fn1
7263	Fndc1
7277	Folr2
7278	Folr4
7279	Fos
7280	Fosb
7288	Foxc2
7296	Foxf2
7301	Foxj1
7306	Foxl1
7318	Foxp1
7322	Foxq1
7326	Foxs1
7329	Fpr1
7330	Fpr2
7341	Frmd4b
7354	Frzb
7356	Fscn1
7357	Fscn2
7360	Fsd1l
7364	Fst
7365	Fstl1
7369	Fth1
7370	Ftl1
7401	Fxyd1
7403	Fxyd3
7405	Fxyd5
7406	Fxyd6
7408	Fyb
7412	Fzd1
7417	Fzd5
7418	Fzd6
7423	G0s2
7427	G530011O06Rik
7433	G630090E17Rik
7472	Gad2
7473	Gadd45a
7474	Gadd45b
7475	Gadd45g
7479	Gal
7503	Galntl1
7505	Galntl4
7517	Gap43
7526	Gas1
7532	Gas6
7536	Gata1
7537	Gata2
7538	Gata3
7546	Gatm
7558	Gbp2
7562	Gbp6
7563	Gbp7
7583	Gclc
7594	Gda
7596	Gdap10
7601	Gdf10
7603	Gdf15
7618	Gem
7635	Gfpt2
7638	Gfra3
7654	Ggt7
7662	Ghrl
7667	Gimap1
7668	Gimap3
7669	Gimap4
7670	Gimap5
7671	Gimap6
7672	Gimap7
7674	Gimap9
7682	Gipc2
7687	Gja1
7689	Gja4
7690	Gja5
7692	Gjb1
7698	Gjc1
7708	Gkn3
7713	Glb1l3
7723	Glipr1
7812	Gm106
7832	Gm10785
7838	Gm10814
7846	Gm10872
7861	Gm11346
7864	Gm11428
7868	Gm11517
7881	Gm11602
7901	Gm12185
7905	Gm12250
7909	Gm12359
7954	Gm1337
7974	Gm13889
7977	Gm14005
8007	Gm14446
8047	Gm1574
8057	Gm16023
8090	Gm1673
8146	Gm1987
