gene_index	gene_name
15111	Rpl22
15134	2810405K02Rik
15173	Fam132a
15210	Cyp51
15258	Sema3c
15262	Gnai1
15343	Insig1
15357	Tyms
15373	Cenpa
15412	Plb1
15418	Ywhah
15419	Slc5a1
15425	Slbp
15427	Tacc3
15466	Psapl1
15499	Hs3st1
15504	Cpeb2
15510	Fgfbp1
15516	Lap3
15556	Arap2
15567	Klf3
15576	Rpl9
15618	Nipal1
15626	Ociad2
15627	Cwh43
15651	Nmu
15658	Paics
15662	Hopx
15668	Igfbp7
15680	Tmprss11d
15681	Tmprss11a
15742	Cxcl1
15743	Cxcl2
15745	Epgn
15746	Ereg
15747	Areg
15764	Cxcl10
15771	Shroom3
15879	Rpl5
15942	Cryba4
15986	Gltp
16006	Dynll1
16015	Rplp0
16024	Hspb8
16036	Tesc
16076	Rpl6
16085	Aldh2
16131	Niacr1
16136	Vps37b
16162	Ubc
16179	Ran
16226	Cldn4
16253	Hspb1
16259	2310043J07Rik
16267	Cux1
16388	Actb
16429	Arpc1b
16460	Rpl21
16461	Rasl11a
16484	Hmgb1
16537	Dlx5
16551	Ndufa4
16569	Cav1
16676	Cald1
16693	Ptn
16771	Zyx
16837	Tmem176b
16838	Tmem176a
16861	Hnrnpa2b1
16862	Cbx3
16887	Creb5
16914	Lsm5
16982	Gadd45a
16987	Tacstd2
17021	Mat2a
17023	Capg
17031	Tmsb10
17053	Pole4
17054	Hk2
17111	Egr4
17128	Snrpg
17135	Asprv1
17136	Mxd1
17145	Antxr1
17217	Lsm3
17218	Slc6a6
17261	Chl1
17273	Bhlhe40
17329	Rpl32
17349	8430408G22Rik
17356	Fxyd4
17455	Tpi1
17457	Cdca3
17463	Ptms
17474	Gapdh
17488	Cd9
17504	Ccnd2
17531	BC064078
17580	Csda
17628	1190002F15Rik
17631	Gprc5a
17638	Emp1
17646	H2afj
17661	Mgst1
17728	Pthlh
17735	Rps4y2
17772	Rps9
17812	Rpl28
17813	Ube2s
17945	Rps5
17961	Lig1
17985	Gltscr2
18056	Dmpk
18070	Fosb
18084	Zfp296
18090	Apoc1
18091	Apoe
18093	Pvrl2
18094	Bcam
18096	Bcl3
18215	Plaur
18219	2310033E01Rik
18224	Lypd3
18233	Rps19
18252	Cnfn
18269	Cyp2s1
18285	Cyp2f2
18293	Itpkc
18301	Sertad1
18328	Rps16
18331	Zfp36
18358	Lgals7
18373	2200002D01Rik
18397	Capns1
18434	Sbsn
18435	Dmkn
18436	Krtdap
18451	Fxyd3
18549	Klk14
18550	Klk13
18551	Klk12
18553	Klk10
18555	Klk8
18597	Myh14
18627	Rps11
18629	Rpl13a
18657	Ftl1
18662	Ppp1r15a
18676	Dbp
18678	Rpl18
