gene_index	gene_name
4504	Chl1
4519	Chodl
4529	Chrm2
4531	Chrm4
4545	Chrne
4546	Chst1
4552	Chst15
4554	Chst3
4577	Cilp
4578	Cilp2
4587	Cit
4588	Cited1
4589	Cited2
4590	Cited4
4596	Ckb
4602	Cks2
4606	Clca1
4623	Cldn1
4625	Cldn11
4629	Cldn15
4633	Cldn19
4636	Cldn22
4641	Cldn3
4642	Cldn4
4643	Cldn5
4645	Cldn7
4649	Clec10a
4651	Clec12a
4652	Clec12b
4653	Clec14a
4656	Clec1a
4658	Clec2d
4664	Clec3a
4665	Clec3b
4666	Clec4a1
4667	Clec4a2
4670	Clec4b1
4672	Clec4d
4673	Clec4e
4676	Clec4n
4677	Clec5a
4678	Clec7a
4682	Clic3
4684	Clic5
4700	Clnk
4706	Clps
4719	Clu
4724	Cma1
4726	Cmah
4736	Cmpk2
4745	Cmtm8
4762	Cnksr2
4764	Cnn1
4781	Cnp
4810	Coch
4820	Col10a1
4821	Col11a1
4822	Col11a2
4823	Col12a1
4824	Col13a1
4825	Col14a1
4826	Col15a1
4829	Col18a1
4830	Col19a1
4831	Col1a1
4832	Col1a2
4835	Col23a1
4837	Col25a1
4838	Col27a1
4840	Col2a1
4841	Col3a1
4842	Col4a1
4843	Col4a2
4850	Col5a2
4852	Col6a1
4853	Col6a2
4854	Col6a3
4859	Col8a1
4860	Col8a2
4861	Col9a1
4862	Col9a2
4863	Col9a3
4865	Colec11
4878	Comp
4907	Coro1a
4915	Cotl1
4924	Cox4i2
4929	Cox6a2
4942	Cp
4943	Cpa1
4944	Cpa2
4945	Cpa3
4952	Cpe
4970	Cpne7
4989	Cpxm1
4990	Cpxm2
4994	Crabp1
5018	Crem
5022	Crim1
5023	Crip1
5024	Crip2
5030	Crispld1
5031	Crispld2
5055	Cryab
5058	Cryba4
5079	Csf1
5080	Csf1r
5081	Csf2
5083	Csf2rb
5084	Csf2rb2
5085	Csf3
5086	Csf3r
5091	Csmd1
5114	Csrp1
5121	Cst3
5122	Cst6
5123	Cst7
5128	Cstb
5148	Ctgf
5150	Cthrc1
5152	Ctla2a
5153	Ctla2b
5154	Ctla4
5168	Ctrb1
5172	Ctsb
5173	Ctsc
5178	Ctsh
5179	Ctsk
5180	Ctsl
5184	Ctss
5185	Ctsw
5188	Cttnbp2
5217	Cwh43
5219	Cx3cr1
5221	Cxcl1
5222	Cxcl10
5223	Cxcl11
5224	Cxcl12
5225	Cxcl13
5226	Cxcl14
5227	Cxcl15
5228	Cxcl16
5229	Cxcl17
5230	Cxcl2
5231	Cxcl3
5232	Cxcl5
5233	Cxcl9
5235	Cxcr2
5236	Cxcr3
5237	Cxcr4
5239	Cxcr6
5240	Cxcr7
5259	Cyba
5261	Cybb
5268	Cygb
5272	Cyp11a1
5275	Cyp1a1
5277	Cyp1b1
5281	Cyp26a1
5282	Cyp26b1
5289	Cyp2a5
5321	Cyp2e1
5322	Cyp2f2
5330	Cyp2j9
5352	Cyp4b1
5355	Cyp4f15
5358	Cyp4f18
5369	Cyr61
5377	Cytip
5378	Cytl1
5379	Cyyr1
5404	D16Ertd472e
5438	D430036J16Rik
5458	D630042P16Rik
5463	D6Mm5e
5467	D730005E14Rik
5500	Dach2
5516	Dapk2
5518	Dapl1
5520	Darc
5530	Dbi
5536	Dbp
5556	Dcbld1
5566	Dclk3
5570	Dcn
5574	Dcpp1
5575	Dcpp2
5576	Dcpp3
5579	Dcstamp
5595	Dcxr
5606	Ddit3
5607	Ddit4
5608	Ddit4l
5653	Ddx60
5666	Defb1
5719	Derl3
5720	Des
5727	Dgat1
5739	Dgkh
5750	Dhh
5756	Dhrs2
5762	Dhrs9
5789	Dio1
5790	Dio2
5791	Dio3
5808	Dkk2
5809	Dkk3
5813	Dlc1
5817	Dleu7
5828	Dlk1
5832	Dll4
5844	Dmbt1
5849	Dmkn
5865	Dnahc10
5868	Dnahc2
5869	Dnahc5
5881	Dnajb1
5901	Dnajc16
5924	Dnali1
5928	Dnase1l3
5965	Dok3
5981	Dpep1
5986	Dpf3
6003	Dppa3
6006	Dpt
6028	Drp2
6034	Dscc1
6056	Dtx1
6071	Dusp1
6076	Dusp14
6081	Dusp2
6084	Dusp26
6087	Dusp3
6090	Dusp6
6112	Dynlrb2
6113	Dynlt1a
6122	Dysf
6129	E030010A14Rik
6149	E130215H24Rik
6180	E330013P04Rik
6197	Eaf2
6202	Ear2
6216	Ece1
6227	Ecm1
6229	Ecscr
6245	Edn1
6246	Edn2
